O X O X _ X O X O | 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
O X O X _ _ O X _ | 0.0 0.0 0.0 0.0 1.0 -0.99 0.0 0.0 -0.99 
O X O X _ _ O _ X | 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
O X O X X _ _ O _ | 0.0 0.0 0.0 0.0 0.0 0.0 -0.99 0.0 -0.99 
O X O X X _ X O O | 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 
O X O X _ X _ O _ | 0.0 0.0 0.0 0.0 0.98 0.0 -0.99 0.0 -0.99 
O X O X _ X X O O | 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
O X O X _ _ X O _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.98 
O X O X _ _ _ O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X X _ _ _ O | 0.0 0.0 0.0 0.0 0.0 1.0 -0.99 -0.99 0.0 
O X O X _ X _ _ O | 0.0 0.0 0.0 0.0 1.0 0.0 -0.99 -0.99 0.0 
O X O X _ _ X _ O | 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.98 0.0 
O X O X _ _ _ X O | 0.0 0.0 0.0 0.0 1.0 1.0 -0.99 0.0 0.0 
O X O _ X _ _ _ _ | 0.0 0.0 0.0 -0.99 0.0 -0.99 -0.99 0.0 -0.99 
O X O O X X _ _ _ | 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 -0.99 
O X O O X X X O _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O O X X _ O X | 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 
O X O O X X X _ O | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O O X _ X _ _ | 0.0 0.0 0.0 0.0 0.0 -0.99 0.0 0.0 -0.99 
O X O O X O X _ X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O O X _ X O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O O X _ _ _ X | 0.0 0.0 0.0 0.0 0.0 -0.99 1.0 0.0 0.0 
O X O _ X O X _ _ | 0.0 0.0 0.0 -0.99 0.0 0.0 0.0 0.0 1.0 
O X O _ X O X O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
